year,carcass_present,bird_or_mammal,species_code,species_sci_name,species_common_name,species_itis,species,age_class,sex,condition,cause_of_death,alive,n
1994,1,bird,GWGU,Larus glaucescens,Glaucous-winged Gull,176814,GWGU: Glaucous-winged Gull (Larus glaucescens; ITIS: 176814),NA,U,4,NA,0,3
1994,1,bird,HEEG,Larus heermanni,Heermann's Gull,176841,HEEG: Heermann's Gull (Larus heermanni; ITIS: 176841),NA,U,4,NA,0,1
1994,1,bird,HOGR,Podiceps auritus,Horned Grebe,174482,HOGR: Horned Grebe (Podiceps auritus; ITIS: 174482),NA,U,3,NA,0,1
1994,1,bird,HOGR,Podiceps auritus,Horned Grebe,174482,HOGR: Horned Grebe (Podiceps auritus; ITIS: 174482),NA,U,4,NA,0,1
1994,1,bird,NOFU,Fulmarus glacialis,Northern Fulmar,174536,NOFU: Northern Fulmar (Fulmarus glacialis; ITIS: 174536),NA,U,3,NA,0,1
1994,1,bird,NOMO,Mimus polyglottos,Northern Mockingbird,178620,NOMO: Northern Mockingbird (Mimus polyglottos; ITIS: 178620),NA,U,4,NA,0,1
1994,1,bird,PALO,Gavia pacifica,Pacific Loon,174475,PALO: Pacific Loon (Gavia pacifica; ITIS: 174475),NA,U,3,NA,0,1
1994,1,bird,PECO,Phalacrocorax pelagicus,Pelagic Cormorant,174725,PECO: Pelagic Cormorant (Phalacrocorax pelagicus; ITIS: 174725),NA,U,2,NA,0,1
1994,1,bird,RBGU,Larus delawarensis,Ring-billed Gull,176830,RBGU: Ring-billed Gull (Larus delawarensis; ITIS: 176830),NA,U,2,NA,0,1
1994,1,bird,RHAU,Cerorhinca monocerata,Rhinoceros Auklet,177023,RHAU: Rhinoceros Auklet (Cerorhinca monocerata; ITIS: 177023),NA,U,2,NA,0,1
1994,1,bird,ROPI,Columba livia,Rock Pigeon,177071,ROPI: Rock Pigeon (Columba livia; ITIS: 177071),NA,U,2,NA,0,3
1994,1,bird,ROPI,Columba livia,Rock Pigeon,177071,ROPI: Rock Pigeon (Columba livia; ITIS: 177071),NA,U,4,NA,0,2
1994,1,bird,SEAB,"Aves (gen, sp)",Marine Bird (unidentified),174371,"SEAB: Marine Bird (unidentified) (Aves (gen, sp); ITIS: 174371)",NA,U,4,NA,0,1
1994,1,bird,SHOR,Charadriiformes (gen sp),Large Shorebird (unidentified),174371,SHOR: Large Shorebird (unidentified) (Charadriiformes (gen sp); ITIS: 174371),NA,U,4,NA,0,1
1994,1,bird,SOSH,Puffinus griseus,Sooty Shearwater,174553,SOSH: Sooty Shearwater (Puffinus griseus; ITIS: 174553),NA,U,2,NA,0,2
1994,1,bird,SOSH,Puffinus griseus,Sooty Shearwater,174553,SOSH: Sooty Shearwater (Puffinus griseus; ITIS: 174553),NA,U,4,NA,0,1
1994,1,bird,SUSC,Melanitta perspicillata,Surf Scoter,175170,SUSC: Surf Scoter (Melanitta perspicillata; ITIS: 175170),NA,U,2,NA,0,1
1994,1,bird,WCGR,Aechmophorus occident./clarkii,Western/Clark's Grebe,174502,WCGR: Western/Clark's Grebe (Aechmophorus occident./clarkii; ITIS: 174502),NA,U,4,NA,0,1
1994,1,bird,WEGR,Aechmophorus occidentalis,Western Grebe,174503,WEGR: Western Grebe (Aechmophorus occidentalis; ITIS: 174503),NA,U,2,NA,0,5
1994,1,bird,WEGR,Aechmophorus occidentalis,Western Grebe,174503,WEGR: Western Grebe (Aechmophorus occidentalis; ITIS: 174503),NA,U,3,NA,0,2
1994,1,bird,WEGU,Larus occidentalis,Western Gull,176817,WEGU: Western Gull (Larus occidentalis; ITIS: 176817),NA,F,2,NA,0,1
1994,1,bird,WEGU,Larus occidentalis,Western Gull,176817,WEGU: Western Gull (Larus occidentalis; ITIS: 176817),NA,U,0,NA,0,1
1994,1,bird,WEGU,Larus occidentalis,Western Gull,176817,WEGU: Western Gull (Larus occidentalis; ITIS: 176817),NA,U,2,NA,0,9
1994,1,bird,WEGU,Larus occidentalis,Western Gull,176817,WEGU: Western Gull (Larus occidentalis; ITIS: 176817),NA,U,3,NA,0,13
1994,1,bird,WEGU,Larus occidentalis,Western Gull,176817,WEGU: Western Gull (Larus occidentalis; ITIS: 176817),NA,U,4,NA,0,4
1994,1,bird,NA,NA,Unknown,174371,NA: Unknown (NA; ITIS: 174371),NA,U,0,NA,0,62
1995,1,bird,ALCI,"Alicdae (gen, sp)",Alcid (unidentified),176967,"ALCI: Alcid (unidentified) (Alicdae (gen, sp); ITIS: 176967)",NA,U,2,NA,0,2
1995,1,bird,ALCI,"Alicdae (gen, sp)",Alcid (unidentified),176967,"ALCI: Alcid (unidentified) (Alicdae (gen, sp); ITIS: 176967)",NA,U,4,NA,0,1
1995,1,bird,BIRD,"Aves (gen, sp)",Bird (unidentified marine/non-marine),174371,"BIRD: Bird (unidentified marine/non-marine) (Aves (gen, sp); ITIS: 174371)",NA,U,0,NA,0,1
1995,1,bird,BIRD,"Aves (gen, sp)",Bird (unidentified marine/non-marine),174371,"BIRD: Bird (unidentified marine/non-marine) (Aves (gen, sp); ITIS: 174371)",NA,U,2,NA,0,1
1995,1,bird,BIRD,"Aves (gen, sp)",Bird (unidentified marine/non-marine),174371,"BIRD: Bird (unidentified marine/non-marine) (Aves (gen, sp); ITIS: 174371)",NA,U,4,NA,0,1
1995,1,bird,BRAC,Phalacrocorax penicillatus,Brandt's Cormorant,174724,BRAC: Brandt's Cormorant (Phalacrocorax penicillatus; ITIS: 174724),NA,U,0,NA,0,1
1995,1,bird,BRAC,Phalacrocorax penicillatus,Brandt's Cormorant,174724,BRAC: Brandt's Cormorant (Phalacrocorax penicillatus; ITIS: 174724),NA,U,2,NA,0,22
1995,1,bird,BRAC,Phalacrocorax penicillatus,Brandt's Cormorant,174724,BRAC: Brandt's Cormorant (Phalacrocorax penicillatus; ITIS: 174724),NA,U,3,NA,0,30
1995,1,bird,BRAC,Phalacrocorax penicillatus,Brandt's Cormorant,174724,BRAC: Brandt's Cormorant (Phalacrocorax penicillatus; ITIS: 174724),NA,U,4,NA,0,18
1995,1,bird,BRPE,Pelecanus occidentalis,Brown Pelican,174685,BRPE: Brown Pelican (Pelecanus occidentalis; ITIS: 174685),NA,U,0,NA,0,1
1995,1,bird,BRPE,Pelecanus occidentalis,Brown Pelican,174685,BRPE: Brown Pelican (Pelecanus occidentalis; ITIS: 174685),NA,U,2,NA,0,3
1995,1,bird,BRPE,Pelecanus occidentalis,Brown Pelican,174685,BRPE: Brown Pelican (Pelecanus occidentalis; ITIS: 174685),NA,U,3,NA,0,4
1995,1,bird,BRPE,Pelecanus occidentalis,Brown Pelican,174685,BRPE: Brown Pelican (Pelecanus occidentalis; ITIS: 174685),NA,U,4,NA,0,3
1995,1,bird,CAAU,Ptychoramphus aleuticus,Cassin's Auklet,177013,CAAU: Cassin's Auklet (Ptychoramphus aleuticus; ITIS: 177013),NA,U,0,NA,0,1
1995,1,bird,CAAU,Ptychoramphus aleuticus,Cassin's Auklet,177013,CAAU: Cassin's Auklet (Ptychoramphus aleuticus; ITIS: 177013),NA,U,2,NA,0,2
1995,1,bird,CAAU,Ptychoramphus aleuticus,Cassin's Auklet,177013,CAAU: Cassin's Auklet (Ptychoramphus aleuticus; ITIS: 177013),NA,U,3,NA,0,2
1995,1,bird,CAAU,Ptychoramphus aleuticus,Cassin's Auklet,177013,CAAU: Cassin's Auklet (Ptychoramphus aleuticus; ITIS: 177013),NA,U,4,NA,0,2
1995,1,bird,CAGU,Larus californicus,California Gull,176829,CAGU: California Gull (Larus californicus; ITIS: 176829),NA,U,2,NA,0,1
1995,1,bird,CAGU,Larus californicus,California Gull,176829,CAGU: California Gull (Larus californicus; ITIS: 176829),NA,U,3,NA,0,1
1995,1,bird,CAGU,Larus californicus,California Gull,176829,CAGU: California Gull (Larus californicus; ITIS: 176829),NA,U,4,NA,0,6
1995,1,bird,CLGR,Aechmophorus clarkii,Clark's Grebe,554027,CLGR: Clark's Grebe (Aechmophorus clarkii; ITIS: 554027),NA,U,2,NA,0,2
1995,1,bird,CLGR,Aechmophorus clarkii,Clark's Grebe,554027,CLGR: Clark's Grebe (Aechmophorus clarkii; ITIS: 554027),NA,U,3,NA,0,1
1995,1,bird,COMU,Uria aalge,Common Murre,176974,COMU: Common Murre (Uria aalge; ITIS: 176974),NA,U,0,NA,0,4
1995,1,bird,COMU,Uria aalge,Common Murre,176974,COMU: Common Murre (Uria aalge; ITIS: 176974),NA,U,2,NA,0,52
