species_sci_name,species_common_name,species_itis,species_code,species_genus,species,bird_or_mammal,n
Stercoarius longicaudus,Long-tailed Jaeger,176794,LTJA,NA,LTJA: Long-tailed Jaeger (Stercoarius longicaudus; ITIS: 176794),bird,1
Oceanodroma microsoma,Least Storm-petrel,174646,LTSP,NA,LTSP: Least Storm-petrel (Oceanodroma microsoma; ITIS: 174646),bird,1
Limosa fedoa,Marbled Godwit,176686,MAGO,NA,MAGO: Marbled Godwit (Limosa fedoa; ITIS: 176686),bird,74
Anas platyrhynchos,Mallard,175063,MALL,NA,MALL: Mallard (Anas platyrhynchos; ITIS: 175063),bird,18
Brachyramphus marmoratus,Marbled Murrelet,176996,MAMU,NA,MAMU: Marbled Murrelet (Brachyramphus marmoratus; ITIS: 176996),bird,40
Puffinus puffinus,Manx Shearwater,174555,MASH,NA,MASH: Manx Shearwater (Puffinus puffinus; ITIS: 174555),bird,3
Larus canus,Mew Gull,176832,MEGU,NA,MEGU: Mew Gull (Larus canus; ITIS: 176832),bird,154
Zenaida macroura,Mourning Dove,177125,MODO,NA,MODO: Mourning Dove (Zenaida macroura; ITIS: 177125),bird,1
Synthliboramphus (sp),Murrelet (unidentified),177006,MURR,NA,MURR: Murrelet (unidentified) (Synthliboramphus (sp); ITIS: 177006),bird,1
NA,Unknown,174371,NA,NA,NA: Unknown (NA; ITIS: 174371),bird,9774
Colaptes auratus,Northern Flicker,178154,NOFL,NA,NOFL: Northern Flicker (Colaptes auratus; ITIS: 178154),bird,5
Fulmarus glacialis,Northern Fulmar,174536,NOFU,NA,NOFU: Northern Fulmar (Fulmarus glacialis; ITIS: 174536),bird,16686
Circus cyaneus,Northern Harrier,175430,NOHA,NA,NOHA: Northern Harrier (Circus cyaneus; ITIS: 175430),bird,2
Mimus polyglottos,Northern Mockingbird,178620,NOMO,NA,NOMO: Northern Mockingbird (Mimus polyglottos; ITIS: 178620),bird,1
Anas acuta,Northern Pintail,175074,NOPI,NA,NOPI: Northern Pintail (Anas acuta; ITIS: 175074),bird,18
NA,Unidentified non-marine,174371,NPSS,NA,NPSS: Unidentified non-marine (NA; ITIS: 174371),bird,86
Anas clypeata,Northern Shoveler,175096,NSHO,NA,NSHO: Northern Shoveler (Anas clypeata; ITIS: 175096),bird,2
NA,No Survey,NA,NSNS,NA,NSNS: No Survey (NA; ITIS: NA),bird,106
Pandion haliaetus,Osprey,175590,OSPR,NA,OSPR: Osprey (Pandion haliaetus; ITIS: 175590),bird,2
Aethia psittacula,Parakeet Auklet,554029,PAAU,NA,PAAU: Parakeet Auklet (Aethia psittacula; ITIS: 554029),bird,8
Stercorarius parasiticus,Parasitic Jaeger,176793,PAJA,NA,PAJA: Parasitic Jaeger (Stercorarius parasiticus; ITIS: 176793),bird,7
Stercorarius parasiticus,Parasitic Jaeger,17693,PAJA,NA,PAJA: Parasitic Jaeger (Stercorarius parasiticus; ITIS: 17693),bird,8
Gavia pacifica,Pacific Loon,174475,PALO,NA,PALO: Pacific Loon (Gavia pacifica; ITIS: 174475),bird,2200
NA,Passerine,174371,PASS,NA,PASS: Passerine (NA; ITIS: 174371),bird,9
Podilymbus podiceps,Pied-billed Grebe,174505,PBGR,NA,PBGR: Pied-billed Grebe (Podilymbus podiceps; ITIS: 174505),bird,3
Phalacrocorax pelagicus,Pelagic Cormorant,174725,PECO,NA,PECO: Pelagic Cormorant (Phalacrocorax pelagicus; ITIS: 174725),bird,1038
